30B;29;12501;12600;1935;2179;973;299;2856;2856
30B;29;12601;12700;1961;2206;983;321;2887;2887
30B;29;12701;12800;1987;2233;992;343;2919;2919
30B;29;12801;12900;2013;2257;993;362;2950;2950
30B;29;12901;13000;2039;2283;1002;383;2982;2982
30B;29;13001;13100;2065;2310;1012;405;3016;3016
30B;29;13101;13200;2091;2334;1021;424;3047;3047
30B;29;13201;13300;2117;2361;1031;446;3078;3078
30B;29;13301;13400;2143;2385;1040;465;3110;3110
30B;29;13401;13500;2169;2411;1041;486;3141;3141
30B;29;13501;13600;2196;2438;1050;508;3175;3175
30B;29;13601;13700;2222;2462;1060;527;3206;3206
30B;29;13701;13800;2248;2491;1069;551;3238;3238
30B;29;13801;13900;2274;2520;1079;575;3269;3269
30B;29;13901;14000;2300;2549;1088;599;3301;3301
30B;29;14001;14100;2326;2578;1090;623;3335;3335
30B;29;14101;14200;2352;2607;1099;647;3366;3366
30B;29;14201;14300;2378;2636;1109;671;3397;3397
30B;29;14301;14400;2404;2665;1118;695;3429;3429
30B;29;14401;14500;2430;2694;1128;719;3460;3460
30B;29;14501;14600;2456;2723;1137;743;3494;3494
30B;29;14601;14700;2482;2752;1138;767;3525;3525
30B;29;14701;14800;2508;2781;1148;791;3557;3557
30B;29;14801;14900;2534;2810;1158;815;3588;3588
30B;29;14901;15000;2560;2839;1167;839;3620;3620
30B;29;15001;15100;2586;2868;1177;863;3654;3654
30B;29;15101;15200;2612;2897;1186;887;3685;3685
30B;29;15201;15300;2638;2926;1196;911;3716;3716
30B;29;15301;15400;2664;2955;1197;935;3748;3748
30B;29;15401;15500;2690;2984;1206;959;3779;3779
30B;29;15501;15600;2716;3013;1216;983;3813;3813
30B;29;15601;15700;2742;3042;1225;1007;3844;3844
30B;29;15701;15800;2768;3071;1235;1031;3876;3876
30B;29;15801;15900;2794;3100;1245;1055;3907;3907
30B;29;15901;16000;2820;3129;1246;1079;3939;3939
30B;29;16001;16100;2846;3158;1255;1103;3973;3973
30B;29;16101;16200;2872;3187;1265;1127;4004;4004
30B;29;16201;16300;2898;3216;1274;1151;4035;4035
30B;29;16301;16400;2924;3245;1284;1175;4067;4067
30B;29;16401;16500;2950;3274;1293;1199;4098;4098
30B;29;16501;16600;2977;3303;1295;1223;4132;4132
30B;29;16601;16700;3003;3332;1304;1247;4163;4163
30B;29;16701;16800;3029;3361;1314;1271;4195;4195
30B;29;16801;16900;3055;3390;1323;1295;4226;4226
30B;29;16901;17000;3081;3419;1333;1319;4258;4258
30B;29;17001;17100;3107;3448;1343;1343;4292;4292
30B;29;17101;17200;3133;3477;1367;1367;4323;4323
30B;29;17201;17300;3159;3506;1391;1391;4354;4354
30B;29;17301;17400;3185;3535;1415;1415;4386;4386
30B;29;17401;17500;3211;3564;1439;1439;4417;4417
30B;29;17501;17600;3237;3593;1463;1463;4451;4451
30B;29;17601;17700;3263;3622;1487;1487;4482;4482
30B;29;17701;17800;3289;3654;1514;1514;4514;4514
30B;29;17801;17900;3315;3685;1540;1540;4545;4545
30B;29;17901;18000;3341;3716;1566;1566;4577;4577
30B;29;18001;18100;3367;3748;1593;1593;4611;4611
30B;29;18101;18200;3393;3779;1619;1619;4642;4642
30B;29;18201;18300;3419;3811;1646;1646;4673;4673
30B;29;18301;18400;3445;3842;1672;1672;4705;4705
30B;29;18401;18500;3471;3873;1698;1698;4736;4736
30B;29;18501;18600;3497;3905;1725;1725;4770;4770
30B;29;18601;18700;3523;3936;1751;1751;4801;4801
30B;29;18701;18800;3549;3968;1778;1778;4833;4833
30B;29;18801;18900;3575;3999;1804;1804;4864;4864
30B;29;18901;19000;3601;4033;1833;1833;4896;4896
30B;29;19001;19100;3627;4064;1859;1859;4930;4930
30B;29;19101;19200;3653;4096;1886;1886;4961;4961
30B;29;19201;19300;3679;4127;1912;1912;4992;4992
